review_id,source,created_date,review_content,rating,author_masked,product_category
PLAY_11st_000036,google_play,2019-10-01,11번가 앱처럼 쿠폰 한번에 보고 다운받을수 있는 기능 넣어주세요,3,G*********,11번가
PLAY_11st_000038,google_play,2019-07-03,.상품구매할려고하니절차가복잡하군요ㅣ,5,G*********,11번가
PLAY_11st_000039,google_play,2019-06-08,다양한 내용 만족합니다.ㅡ,5,G*********,11번가
PLAY_11st_000041,google_play,2019-02-03,"11번가보다 비쌉니다. 고양이사료 캣츠랑 20키로가 11번가는 3만원, 여긴 3만8천원이네요.쇼킹딜 이름이 무색..",1,G*********,11번가
PLAY_11st_000042,google_play,2019-02-02,머리 뽀개질것같아요.좋긴해요,3,G*********,11번가
PLAY_11st_000050,google_play,2018-11-09,다년간의 노력으로 11번가라는 시장터를 마련해 주심에 새삼스레 감사를 드립니다.  네이트몰이 여러가지 여건 상 잘 되지 않았던 점을 기억하고 있는 한사람으로서 선경그룹의 한 계열사라고 할 수 있을지...   여하튼 지나간 실수와 잠깐의 삐걱거림 후 이렇게 번듯한 말 그대로 쇼킹한 사이트를 만들어내 주심에 고맙네요^^  앞으로도 1~20원의 최저가 차이가 아닌 품질과 신뢰로 번창하는 장소를 만들어 주시길 희망하며.    얼마전에 마테차를 처가댁에 보내드렸습니다.    현존 최고의 가치를 가진 택배운송중계인으로 생각됩니다.    한때는 인터파크를 당할 곳이 없었고 더 오래전엔 옥션과 지마켓이 있었으나 응집된 정보분석과 적용으로 단연 눈에 띄는 회사가 되어가고 있습니다. 응원합니다. 한국인의 자긍심까지 커지는 듯한 존재.    SK가 있어 가슴 크게 피고 당당해집니다^~^,5,G*********,11번가
PLAY_11st_000051,google_play,2018-11-07,사랑이 사람이다...!,5,G*********,11번가
PLAY_11st_000053,google_play,2018-10-22,감사합니다 물건구입시 편리하게 전화할수있게 해주세요70넘은 사람은 구입하기가힘 들어요 나이먹은 사람은 메일 같은것 없어서 하기힘들어요,5,G*********,11번가
PLAY_11st_000054,google_play,2018-10-20,존재 가치가 사라짐. 예전엔 11번가 어플과 비교해서 또 다른 혜택이 있었으나 어느샌가 다 사라지고 단순히 쇼킹딜만 보여주는 어플이 되었음.,1,G*********,11번가
PLAY_11st_000055,google_play,2018-10-13,저금액이라도 무료배송 부탁드려요,3,G*********,11번가
PLAY_11st_000057,google_play,2018-10-11,최선을 다하는 가족으로,5,G*********,11번가
PLAY_11st_000060,google_play,2018-10-01,"상품이 다양해서 보기 너무좋아요 ~ 할것도 많구 , 눈정화 ♡ 👀❣ 방탄 굿즈 마니마니 올려주세요 ♡♡",5,G*********,11번가
PLAY_11st_000064,google_play,2018-08-25,11번가 최저가 입니다~~,5,G*********,11번가
PLAY_11st_000067,google_play,2018-07-24,다른 앱이랑 가격 차이도 얼마 안나고 개별로임ㅋㅋ 딱봐도 돈받고 광고해주는 수준~ 이거 쓸라고 업뎃함 탈퇴하고 앱 지울거임,1,G*********,11번가
PLAY_11st_000068,google_play,2018-07-19,가격이 다른데랑 차이안나서 쇼킹함.. 그냥 광고비받은 물품 시간제한걸고 맨앞에 보이는 어플 같습니다,1,G*********,11번가
PLAY_11st_000069,google_play,2018-07-01,"2번째 계산착오 가격 자기들이 잘못 올려놓고 물건 안판다고 취소 시켜 버리네요.. 호갱님 이네요 새벽 3시반에 문자 보내는 몰상식한 
판매자 대박",1,G*********,11번가
PLAY_11st_000071,google_play,2018-05-24,"몇년째 vvip유지중인데 혜택이 가면 갈수록 줄어드는거 같네요... 쇼킹딜해서 판매하는것도 위x프에서 판매하는것보다 비싸구요.. 할인을 
받아도 받은건지 의문이 생기네요",3,G*********,11번가
PLAY_11st_000073,google_play,2018-05-16,"화면이 깨지고 혜택페이지에서 쿠폰받을라하면 왜 다운이 안되요? 앱 지웠다가 다시 설치해도 느리고 상품페이지도 안넘어가고.. 최근엔 
혜택이 너무 줄었어요 요즘 11번가 왜이러죠?",2,G*********,11번가
PLAY_11st_000074,google_play,2018-05-12,11번가의 서브앱 하지만 실속은 풍부,5,G*********,11번가
PLAY_11st_000075,google_play,2018-05-10,"11번가 수년째 이용중인데요 쿠폰혜택이 많이 줄었어요 vvip되어도 그닥 혜택이 없는거같아요 예전처럼 혜택 주세요 11번가하면 싸다 
초심을 잃지않길바랍니다 사이트중에는 단연 최고에요",4,G*********,11번가
PLAY_11st_000076,google_play,2018-05-02,"연예인 찍어서 간판 그만 올리고 그것들 줄 돈으로 쿠폰행사나 좀 재대로 합시다. 무슨 10대 위주 판매하는것도 아니면서 연예인이 맨날 
바뀌노",1,G*********,11번가
PLAY_11st_000078,google_play,2018-04-03,쇼킹딜앱에서 카톡으로 공유한 url은 앱 안깔면 안보이네요 ㅠㅠ  보통 다른앱들은 설치안해도 웹으로 보기 되던데.. 고쳐주세요,2,G*********,11번가
PLAY_11st_000079,google_play,2018-03-30,와 나 이런거 잘안쓰는데 진짜 업데이트 누가하는건지 더 불편하게 만드네 직접써보고 업데이트하는건가? 이정도면 솔직히 퇴사시켜도 할말없는 수준인데 오히려 이용성이 전에있던거보다 훨씬불편함 처음이라서 적응이 힘든게 아니고 수취확인이 밖에있었는데 안으로 집어넣어서  한번터치할걸 두번터치하게 만듬 진짜 생각이있으면 한번할일을 왜 두번하게 만들지는않을텐데 업데이트하는 사람이 누군지 궁금합니다,2,G*********,11번가
PLAY_11st_000080,google_play,2018-03-19,업데이트 후 주문상품 상세보기 힘들어지고 즙문취소도 개별로바뀌고 완전불편,1,G*********,11번가
PLAY_11st_000081,google_play,2018-03-06,1.쇼킹딜 앱에서도 출첵할 수 있게 출석체크 기능이 들어갔으면 좋겠어요. 2.그리고 쇼킹딜은 검색 상품 범위가 많지 않더라고요. 11번가에서도 검색되면 나오는 상품들이 쇼킹딜앱에서도 검색 결과에 포함되었으면 좋겠네요.,2,G*********,11번가
